"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:57:51,5352171","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\ClickCommandConfirmation.sst","NO SUCH FILE","Filter: ClickCommandConfirmation.sst"
"15:57:51,5357741","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\ClickCommandConfirmation.sst","NO SUCH FILE","Filter: ClickCommandConfirmation.sst"
"15:57:51,5716297","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\UnitSelection.sst","NO SUCH FILE","Filter: UnitSelection.sst"
"15:57:51,5719561","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\UnitSelection.sst","NO SUCH FILE","Filter: UnitSelection.sst"
"15:57:51,5724291","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\UnitAreaEffectCircle.sst","NO SUCH FILE","Filter: UnitAreaEffectCircle.sst"
"15:57:51,5727973","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\UnitAreaEffectCircle.sst","NO SUCH FILE","Filter: UnitAreaEffectCircle.sst"
"15:57:51,6075233","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\fx_cloudtexture.sst","NO SUCH FILE","Filter: fx_cloudtexture.sst"
"15:57:51,6079320","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\fx_cloudtexture.sst","NO SUCH FILE","Filter: fx_cloudtexture.sst"
"15:57:51,6241102","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\AreaEffect.sst","NO SUCH FILE","Filter: AreaEffect.sst"
"15:57:51,6244155","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\AreaEffect.sst","NO SUCH FILE","Filter: AreaEffect.sst"
"15:57:51,6412929","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\CircleAreaEffect.sst","NO SUCH FILE","Filter: CircleAreaEffect.sst"
"15:57:51,6416992","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\CircleAreaEffect.sst","NO SUCH FILE","Filter: CircleAreaEffect.sst"
"15:57:51,6923605","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_16.sst","NO SUCH FILE","Filter: Water_Ocean_16.sst"
"15:57:51,6927708","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_16.sst","NO SUCH FILE","Filter: Water_Ocean_16.sst"
"15:57:51,6941959","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_15.sst","NO SUCH FILE","Filter: Water_Ocean_15.sst"
"15:57:51,6948325","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_15.sst","NO SUCH FILE","Filter: Water_Ocean_15.sst"
